building pools (N=8, area=200.0m)...
  pools ready in 40s (test pool: 2048 instances)

  B=1 priced          : 0.8561 +/- 0.0002
  B=1 quantised       : 0.8631 +/- 0.0003
  B=2 priced          : 0.8847 +/- 0.0004
  B=2 quantised       : 0.8626 +/- 0.0007
  B=3 priced          : 0.8878 +/- 0.0007
  B=3 quantised       : 0.8624 +/- 0.0005
  B=4 priced          : 0.9006 +/- 0.0005
  B=4 quantised       : 0.8617 +/- 0.0004
  B=6 priced          : 0.9075 +/- 0.0004
  B=6 quantised       : 0.8615 +/- 0.0003
  B=8 priced          : 0.9047 +/- 0.0006
  B=8 quantised       : 0.8611 +/- 0.0003
